id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35249886,Families will stay here!,243104161,Alexandra,,Tudering-Riem,48.14141,11.68098,Hotel room,601,1,0,,,5,321,0,
35250487,That room with homey atmosphere,243104161,Alexandra,,Tudering-Riem,48.140564,11.681536,Hotel room,559,1,0,,,5,316,0,
35251077,your cozy room in a lovely house,243104161,Alexandra,,Tudering-Riem,48.14163,11.68233,Hotel room,550,1,2,2022-11-27,0.87,5,325,2,
35261788,Gemütliches Zimmer in guter Lage (Oktoberfest),265469368,Harald,,Moosach,48.17494,11.52902,Private room,75,5,0,,,1,173,0,
34877539,STYLISH APARTMENT NEAR MARIENPLATZ,262929207,Seisho,,Altstadt-Lehel,48.13586,11.5842,Entire home/apt,144,2,0,,,1,0,0,
35284838,Perfect located flat for your Munic-Trip!,37965041,Julian,,Au-Haidhausen,48.13513,11.60816,Entire home/apt,109,1,27,2022-11-17,0.64,1,175,12,
37264244,2 room apartment in central Munich for Oktoberfest,3574283,Philipp,,Schwabing-West,48.15997,11.57886,Entire home/apt,153,2,25,2022-10-30,0.62,1,171,16,
37268190,GROOVY APARTMENT NEAR MUNICH'S CITY CENTER,280567322,Fabian,,Neuhausen-Nymphenburg,48.1491,11.52912,Entire home/apt,84,2,1,2019-08-18,0.02,1,0,0,
35297338,Design Traum Nymphenburg,4987476,Dirk,,Neuhausen-Nymphenburg,48.16328,11.50928,Entire home/apt,312,7,0,,,1,179,0,
35309926,Gästezimmer mit Bad/Balkon Metro Innenstadt 15 Min,166044042,Claudia,,Tudering-Riem,48.12467,11.66456,Entire home/apt,48,1,19,2020-03-02,0.45,1,0,0,
35314380,Cozy Oktoberfest,188180007,Ugur,,Maxvorstadt,48.14802,11.5647,Entire home/apt,100,10,25,2022-11-19,0.58,1,365,5,
37278677,Apartment in the center of Munich!,39606926,Anna,,Ludwigsvorstadt-Isarvorstadt,48.13161,11.55588,Private room,85,3,0,,,1,363,0,
36082111,Beautiful new and light 1 room apartment,20349919,Maik,,Schwabing-West,48.16197,11.55835,Entire home/apt,85,2,32,2022-12-05,0.81,1,0,11,
35329883,STYLISHLY FURNISHED LOFT IN PRIME LOCATION,265996866,Miriam,,Sendling,48.12201,11.54229,Entire home/apt,120,2,0,,,1,0,0,
37289962,"Cosy Flat 3 km from Marienplatz, 1.5km from Wiesen",278561681,Angela,,Sendling-Westpark,48.11353,11.52887,Entire home/apt,80,3,1,2019-08-22,0.02,1,0,0,
37311119,Penthouse mit Dachterrassen für bis zu 4 Personen!,205832270,K Eins Mysecondhome De,,Ramersdorf-Perlach,48.11174,11.617343,Entire home/apt,999,25,18,2020-10-18,0.44,33,0,0,
35376470,Neubau Studio mit Klimaanlage & schöner Küche!,205832270,K Eins Mysecondhome De,,Ramersdorf-Perlach,48.11174,11.617343,Entire home/apt,999,25,6,2021-06-13,0.15,33,0,0,
36089103,Cozy Flat in Heart of Munich - 2 min from Subway,120284973,David,,Schwabing-West,48.15718,11.5655,Entire home/apt,90,2,13,2022-12-08,0.33,1,327,7,
35380727,Gemütliches Zimmer für 1-2 Personen Küche/Bad,44174658,Daniel,,Tudering-Riem,48.11875,11.65839,Private room,45,1,185,2022-12-23,4.26,1,35,82,
36097306,Nice flat in Munich for Octoberfest,38936151,Aleks,,Neuhausen-Nymphenburg,48.16085,11.50138,Entire home/apt,49,2,2,2022-09-05,0.06,1,0,1,
37313216,Apartment im Herzen von Schwabing,93004911,Gabriela,,Schwabing-West,48.16535,11.57358,Entire home/apt,130,1,4,2022-10-30,1.17,1,264,4,
37314274,"Cozy Privat Room , 20mins to Citycenter",278798487,Maria,,Allach-Untermenzing,48.18268,11.48009,Private room,88,2,16,2022-12-01,0.39,2,24,12,
35447134,BIG CITY LIFE STUDIO,266724107,Celina,,Ludwigsvorstadt-Isarvorstadt,48.12967,11.57349,Entire home/apt,102,2,3,2019-06-29,0.07,1,0,0,
